"Address","City","State","Zip","Longitude","Latitude"
"13600 Northwest 2nd St","Sunrise",FL,"33325",-80.3316,26.1236
"13651 Northwest 2nd St","Sunrise",FL,"33325",-80.3313,26.1241
"2905 N Monroe St","Tallahassee",FL,"32303",-84.3050,30.4819
"4730 W Spruce St","Tampa",FL,"33607",-82.5259,27.9596
"4811 US Hwy 301 North","Tampa",FL,"33610",-82.3580,27.9895
"4620  West Gandy Blvd","Tampa",FL,"33611",-82.5232,27.8932
"3701 East Fowler Ave","Tampa",FL,"33612",-82.4181,28.0536
"9202 North 30th St","Tampa",FL,"33612",-82.4266,28.0336
"3826 West Waters Ave","Tampa",FL,"33614",-82.5064,28.0244
"602 South Falkenburg Rd","Tampa",FL,"33619",-82.3342,27.9446
"17301 Dona Michelle Dr","Tampa",FL,"33647",-82.3711,28.1237
"1910 Palm Beach Lakes Blvd","West Palm Beach",FL,"33409",-80.0910,26.7168
"5981 Okeechobee Blvd","West Palm Beach",FL,"33417",-80.1352,26.7081
"184 North Point Way","Acworth",GA,"30102",-84.6561,34.0820
"1350 North Point Dr","Alpharetta",GA,"30022",-84.2892,34.0508
"2535 Chantilly Dr Northeast","Atlanta",GA,"30324",-84.3494,33.8236
"6260 Peachtree Dunwoody Rd","Atlanta",GA,"30328",-84.3515,33.9230
"4820 Massachusetts Blvd","Atlanta",GA,"30337",-84.4541,33.6237
"2415 Paces Ferry Rd Southeast","Atlanta",GA,"30339",-84.4833,33.8630
"3020 Washington Rd","Augusta",GA,"30907",-82.0463,33.5123
"165 Warren Mason Blvd","Brunswick",GA,"31520",-81.5234,31.2172
"150 Cracker Barrel Dr","Calhoun",GA,"30701",-84.9154,34.4708
"3201 Macon Rd, Suite A","Columbus",GA,"31906",-84.9413,32.4831
"2919 Warm Springs Rd","Columbus",GA,"31909",-84.9482,32.5052
"1184 Dogwood Dr SE","Conyers",GA,"30012",-84.0058,33.6549
"715 College Dr","Dalton",GA,"30720",-85.0028,34.7687
"1000 Linnenkohl Dr","Douglasville",GA,"30134",-84.7594,33.7315
"101 Travel Center Blvd","Dublin",GA,"31021",-82.9388,32.4869
"2370 Stephens Center Dr","Duluth",GA,"30096",-84.0924,33.9751
"1740 E Oglethorpe Hwy","Hinesville",GA,"31313",-81.5672,31.8585
"2625 George Busbee Pkwy NW","Kennesaw",GA,"30144",-84.5679,34.0148
"104 May Creek Dr","Kingsland",GA,"31548",-81.6632,30.7897
"111 Hoffman Drive","LaGrange",GA,"30241",-84.9736,33.0399
"4832 Bill Gardner Pkwy","Locust Grove",GA,"30248",-84.1236,33.3533
"4615 Chambers Rd","Macon",GA,"31206",-83.7221,32.8072
"3944 River Pl Dr","Macon",GA,"31210",-83.6852,32.9046
"600 Bullsboro Dr","Newnan",GA,"30265",-84.7581,33.3971
